TECHNICAL SKILLS

Other Tools,ZeroG InstallAnywhere

Other Languages,ALGOL
Other Languages,BASIC
Other Languages,COBOL
Other Languages,FORTRAN
Other Languages,LISP
Other Languages,PL/1
Other Languages,PL/M
Other Languages,Pascal
Other Languages,PostScript
Other Languages,SNOBOL

Microprocessors,Atmel SAM9G (ARM)
Microprocessors,Freescale MC680X0
Microprocessors,Freescale MPC7410
Microprocessors,Freescale MPC8548
Microprocessors,Freescale MPC860
Microprocessors,Intel 8051
Microprocessors,Intel StrongARM
Microprocessors,Intel x86
Microprocessors,MIPS32
Microprocessors,Sun SPARC
Microprocessors,Zilog 80180
